"Sweden" "83.1" "1.5"
"Switzerland" "83.5" "0.6"
"Tajikistan" "71.3" "22.9"
"Tanzania" "66.8" "24.4"
"Thailand" "79.7" "8.7"
"Timor-Leste" "69.1" "10.2"
"Togo" "61.6" "18.7"
"Trinidad and Tobago" "74.7" "1.1"
"Tunisia" "74.3" "10.8"
"Turkiye" "78.5" "6.5"
"Turkmenistan" "69.4" "11.6"
"Uganda" "63.6" "24"
"Ukraine" "68.6" "8.6"
"United Arab Emirates" "79.2" "0.8"
"United Kingdom" "82.1" "0.8"
"Uruguay" "78" "7"
"Uzbekistan" "71.7" "23.3"
"Viet Nam" "74.6" "12"
"West Bank and Gaza" "73.4" "5.7"
"Zambia" "61.8" "3.1"
"Zimbabwe" "59.4" "7.2"
